Group,Name,Acronym,SpecificationSourceURL,Category,ParentModel,SimilarModels,Maintainer,Format,Status,NamespaceURI,Year,Notes,CompositionalRole,DefaultLinkType
"Semantic Web & Linked Data","Semantically-Interlinked Online Communities","SIOC","https://www.w3.org/submissions/sioc-spec/","Ontology","RDFS","FOAF, SKOS, Activity Streams","DERI Galway","RDF/OWL vocabulary","W3C Member Submission","http://rdfs.org/sioc/ns#","2007 / 2007","Online-community/forum modeling","R4","REFERENCE"
"Semantic Web & Linked Data","GoodRelations","GoodRelations","http://www.heppnetz.de/ontologies/goodrelations/v1.html","Ontology","OWL DL","schema.org Offer, GS1 Vocab","M. Hepp","OWL DL ontology","Community / absorbed","http://purl.org/goodrelations/v1#","2008 / 2011","E-commerce vocab; merged into schema.org","R4","REFERENCE"
"Semantic Web & Linked Data","Hydra Core Vocabulary","Hydra","https://www.hydra-cg.com/spec/latest/core/","Controlled Vocabulary","RDF","OpenAPI, LDF, JSON Hyper-Schema","W3C Community Group","RDF/JSON-LD vocabulary","CG Draft (living)","http://www.w3.org/ns/hydra/core#","2013 / —","Hypermedia REST API vocab","R8","N/A"
"Semantic Web & Linked Data","Web Annotation Vocabulary","OA","https://www.w3.org/TR/annotation-vocab/","Ontology","RDF","Web Annotation DM, Open Annotation","W3C","RDF/OWL vocabulary","W3C Recommendation","http://www.w3.org/ns/oa#","2017 / 2017","Annotation modeling; used by IIIF","R5","MIX-IN"
"Semantic Web & Linked Data","Open Digital Rights Language","ODRL","https://www.w3.org/TR/odrl-vocab/","Controlled Vocabulary","RDF","XACML, ccREL, MPEG-21 REL","W3C","Information model + vocabulary","W3C Recommendation","http://www.w3.org/ns/odrl/2/","2001 / 2018","Rights/policy expression; strong import candidate","R5","MIX-IN"
"Semantic Web & Linked Data","RDF Data Cube Vocabulary","QB","https://www.w3.org/TR/vocab-data-cube/","Controlled Vocabulary","RDF","SDMX-RDF, SKOS, DCAT","W3C","RDF vocabulary","W3C Recommendation","http://purl.org/linked-data/cube#","2014 / 2014","Statistical/multidimensional data","R2","REFERENCE"
"Semantic Web & Linked Data","Semantic Markup for Web Services","OWL-S","https://www.w3.org/submissions/2004/SUBM-OWL-S-20041122/","Ontology","OWL","WSMO, SAWSDL, WSDL-S","W3C Member Submission","OWL ontology","W3C Member Submission","http://www.daml.org/services/owl-s/1.1/","2004 / 2004","Service description ontology","R8","N/A"
"Semantic Web & Linked Data","WordNet RDF","WordNet (RDF)","http://wordnet-rdf.princeton.edu/","Knowledge Graph","RDFS","OntoLex-Lemon, BabelNet","Princeton University","lemon/OntoLex RDF","Institutional resource","http://wordnet-rdf.princeton.edu/ontology#","2006 / 2014","RDF/lemon edition of WordNet","R2","REFERENCE"
"Semantic Web & Linked Data","Wikidata","Wikidata","https://www.wikidata.org","Knowledge Graph","—","DBpedia, YAGO, Freebase","Wikimedia Foundation","RDF-exportable KG (Wikibase)","Active","http://www.wikidata.org/entity/","2012 / —","Largest open collaborative KG; strong import candidate","R4","REFERENCE"
"Semantic Web & Linked Data","DBpedia","DBpedia","https://www.dbpedia.org","Knowledge Graph","RDFS","Wikidata, YAGO","DBpedia Association","RDF KG + DBO ontology","Active","http://dbpedia.org/ontology/","2007 / —","Wikipedia-extracted LOD hub","R4","REFERENCE"
"Semantic Web & Linked Data","YAGO","YAGO","https://yago-knowledge.org","Knowledge Base","schema.org","Wikidata, DBpedia","MPI Informatics / Télécom Paris","RDF KB","Active v4.5","http://yago-knowledge.org/resource/","2007 / 2024","schema.org-typed KB from Wikidata","R4","REFERENCE"
"Semantic Web & Linked Data","ConceptNet","ConceptNet","https://conceptnet.io","Knowledge Graph","—","WordNet, BabelNet, Cyc","MIT Media Lab / Luminoso","Semantic network","Active v5.7","http://conceptnet.io/c/","2007 / 2019","Commonsense semantic network","R2","REFERENCE"
"Semantic Web & Linked Data","BabelNet","BabelNet","https://babelnet.org","Knowledge Graph","WordNet","WordNet, ConceptNet, Wikidata","Sapienza / Babelscape","Multilingual lexical KG","Active v5.3","http://babelnet.org/rdf/","2010 / 2023","Multilingual encyclopedic dictionary","R2","REFERENCE"
"Semantic Web & Linked Data","Upper Mapping and Binding Exchange Layer","UMBEL","http://umbel.org","Controlled Vocabulary","OpenCyc","OpenCyc, KBpedia","Structured Dynamics","SKOS + OWL2","Dormant/legacy","http://umbel.org/umbel#","2008 / 2016","OpenCyc-derived reference layer","R2","REFERENCE"
"Semantic Web & Linked Data","Cyc / OpenCyc","Cyc","https://cyc.com","Knowledge Base","—","SUMO, UMBEL, ConceptNet","Cycorp","KB + upper ontology","Cyc active; OpenCyc discontinued","—","1984 / 2012","OpenCyc pulled ~2017; Cyc commercial","R7","ALIGN"
"Semantic Web & Linked Data","Suggested Upper Merged Ontology","SUMO","https://www.ontologyportal.org","Ontology","—","DOLCE, BFO, Cyc","IEEE / Articulate Software","SUO-KIF (OWL exports)","Active","http://www.ontologyportal.org/SUMO.owl#","2000 / —","Foundational upper ontology","R7","ALIGN"
"Semantic Web & Linked Data","Descriptive Ontology for Linguistic & Cognitive Engineering","DOLCE","https://www.loa.istc.cnr.it/index.php/dolce/","Ontology","—","BFO, SUMO, GFO","LOA, ISTC-CNR","OWL foundational ontology","Active/stable","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#","2002 / —","Foundational ontology; DUL widely reused","R7","ALIGN"
"Semantic Web & Linked Data","Basic Formal Ontology","BFO","https://basic-formal-ontology.org","Ontology","—","DOLCE, SUMO, GFO","NCOR, Univ. at Buffalo","OWL foundational ontology","Active (BFO 2020)","http://purl.obolibrary.org/obo/bfo.owl","2002 / 2021","ISO/IEC 21838-2:2021; OBO upper ontology","R7","ALIGN"
"Semantic Web & Linked Data","WordNet","WordNet","https://wordnet.princeton.edu","Controlled Vocabulary","—","BabelNet, ConceptNet, Open English WordNet","Princeton University","Lexical database","Frozen (3.1)","http://wordnet-rdf.princeton.edu/ontology#","1995 / 2011","Foundational lexical DB; OEW is living successor","R2","REFERENCE"
"Library, Metadata & Cultural Heritage","Dublin Core Metadata Element Set","DCES","https://www.dublincore.org/specifications/dublin-core/dces/","Controlled Vocabulary","—","schema.org, MODS, EDM","DCMI","RDF metadata element set","Published v1.1","http://purl.org/dc/elements/1.1/","1998 / 2012","ISO 15836 / Z39.85; the 15 core elements","R2","REFERENCE"
"Library, Metadata & Cultural Heritage","MARC 21","MARC 21","https://www.loc.gov/marc/","Exchange Format","—","MODS, MADS, BIBFRAME","Library of Congress","ISO 2709 record + MARCXML","Published","http://www.loc.gov/MARC21/slim","1999 / —","Dominant cataloging exchange format","R6","COMPOSE"
"Library, Metadata & Cultural Heritage","Bibliographic Framework","BIBFRAME","https://www.loc.gov/bibframe/","Ontology","—","MARC 21, RDA, schema.org","Library of Congress","RDF/OWL ontology","Published v2.0","http://id.loc.gov/ontologies/bibframe/","2012 / 2016","Linked-Data successor to MARC; strong import candidate","R4","REFERENCE"
"Library, Metadata & Cultural Heritage","Metadata Object Description Schema","MODS","https://www.loc.gov/standards/mods/","Schema Language","MARC 21","MADS, MARCXML, DC","Library of Congress","XML schema (XSD)","Published v3.8","http://www.loc.gov/mods/v3","2002 / 2023","MARC-derived descriptive schema","R8","EXTEND"
"Library, Metadata & Cultural Heritage","Metadata Encoding & Transmission Standard","METS","https://www.loc.gov/standards/mets/","Exchange Format","—","MODS, PREMIS, OAI-ORE","Library of Congress","XML schema (XSD)","Published v1.12.1","http://www.loc.gov/METS/","2001 / 2019","Digital-object wrapper/container","R6","COMPOSE"
"Library, Metadata & Cultural Heritage","Encoded Archival Description","EAD","https://www.loc.gov/ead/","Schema Language","—","EAC-CPF, RiC, DC","SAA TS-EAS / LoC","XML schema (XSD/RNG/DTD)","Published EAD3 1.1.2","http://ead3.archivists.org/schema/","1998 / 2023","Archival finding-aid encoding","R8","EXTEND"
"Library, Metadata & Cultural Heritage","Preservation Metadata: Implementation Strategies","PREMIS","https://www.loc.gov/standards/premis/","Schema Language","—","METS, MODS, PROV-O","Library of Congress","Data dictionary + XML/OWL","Published v3.0","http://www.loc.gov/premis/rdf/v3/","2005 / 2015","Digital-preservation metadata; OWL ontology exists","R5","MIX-IN"
"Library, Metadata & Cultural Heritage","Resource Description and Access","RDA","https://www.rdatoolkit.org/","Application Profile","IFLA LRM","BIBFRAME, MARC 21, AACR2","RDA Steering Committee","Cataloging standard + RDA Registry","Published","http://rdaregistry.info/","2010 / 2020","Content standard atop LRM; RDF vocabs in RDA Registry","R2","REFERENCE"
"Library, Metadata & Cultural Heritage","Functional Requirements for Bibliographic Records","FRBR","https://www.ifla.org/g/cataloguing/ifla-s-bibliographic-conceptual-models/","Metamodel","—","FRAD, FRSAD, IFLA LRM","IFLA","Entity-relationship conceptual model","Superseded by LRM","—","1998 / 2009","WEMI model; consolidated into LRM","R4","REFERENCE"
"Library, Metadata & Cultural Heritage","IFLA Library Reference Model","LRM","https://www.ifla.org/publications/node/11412/","Metamodel","FRBR","FRBR family","IFLA","Entity-relationship conceptual model","Published","http://iflastandards.info/ns/lrm/lrmer/","2017 / 2017","Consolidates FRBR/FRAD/FRSAD; underpins RDA & BIBFRAME","R4","REFERENCE"
"Library, Metadata & Cultural Heritage","Metadata Authority Description Schema","MADS","https://www.loc.gov/standards/mads/","Schema Language","MARC 21","MODS, SKOS, EAC-CPF","Library of Congress","XML schema + MADS/RDF","Published v2.x","http://www.loc.gov/mads/rdf/v1#","2005 / 2012","Authority companion to MODS; RDF edition exists","R8","EXTEND"
"Library, Metadata & Cultural Heritage","SKOS eXtension for Labels","SKOS-XL","https://www.w3.org/TR/skos-reference/skos-xl.html","Ontology","SKOS","SKOS, MADS/RDF","W3C","RDF/OWL vocabulary","W3C Recommendation","http://www.w3.org/2008/05/skos-xl#","2009 / 2009","Reifies labels as resources","R5","MIX-IN"
"Library, Metadata & Cultural Heritage","OAI Protocol for Metadata Harvesting","OAI-PMH","https://www.openarchives.org/OAI/openarchivesprotocol.html","Framework","—","OAI-ORE, ResourceSync, SWORD","Open Archives Initiative","XML-over-HTTP protocol","Published v2.0","http://www.openarchives.org/OAI/2.0/","2001 / 2002","Repository metadata harvesting","R8","N/A"
"Library, Metadata & Cultural Heritage","OAI Object Reuse and Exchange","OAI-ORE","https://www.openarchives.org/ore/","Ontology","RDF","OAI-PMH, METS, IIIF","Open Archives Initiative","RDF vocabulary / data model","Published v1.0","http://www.openarchives.org/ore/terms/","2008 / 2008","Aggregation/compound-object description","R6","COMPOSE"
"Library, Metadata & Cultural Heritage","Records in Contexts","RiC","https://www.ica.org/standards/RiC/ontology","Ontology","—","EAD3, EAC-CPF, PREMIS","ICA EGAD","Conceptual model (CM) + OWL (RiC-O)","Published RiC-O 1.1","https://www.ica.org/standards/RiC/ontology#","2021 / 2025","Harmonizes four ICA archival standards","R4","REFERENCE"
"Library, Metadata & Cultural Heritage","CIDOC Conceptual Reference Model","CIDOC CRM","https://www.cidoc-crm.org/","Ontology","—","EDM, LRMoo, LIDO","CIDOC SIG (ICOM)","RDFS/OWL ontology","Published v7.1.3","http://www.cidoc-crm.org/cidoc-crm/","1999 / 2024","ISO 21127:2023; museum event-based ontology; strong import candidate","R4","REFERENCE"
"Library, Metadata & Cultural Heritage","Europeana Data Model","EDM","https://pro.europeana.eu/page/edm-documentation","Ontology","RDF","CIDOC CRM, LIDO","Europeana Foundation","RDF/OWL + XML schema","Published v5.2.8","http://www.europeana.eu/schemas/edm/","2010 / 2017","Aggregates DC/ORE/SKOS/CIDOC CRM","R6","COMPOSE"
"Library, Metadata & Cultural Heritage","International Image Interoperability Framework","IIIF","https://iiif.io/api/","Framework","—","OAI-PMH, Web Annotation","IIIF Consortium","REST API + JSON-LD","Published v3.0","http://iiif.io/api/presentation/3/context.json","2012 / 2020","Image/presentation APIs; Presentation 4.0 in RC","R8","N/A"
"Library, Metadata & Cultural Heritage","Visual Resources Association Core","VRA Core","https://www.loc.gov/standards/vracore/","Schema Language","—","CDWA Lite, LIDO, DC","VRA / Library of Congress","XML schema","Published v4.0","http://www.vraweb.org/vracore4.htm","2007 / 2007","Visual-resource description schema","R8","EXTEND"
"Library, Metadata & Cultural Heritage","Text Encoding Initiative","TEI","https://tei-c.org/","Schema Language","—","DocBook, EAD, MEI","TEI Consortium","XML schema (RELAX NG/XSD/DTD)","Published P5 v4.11.0","http://www.tei-c.org/ns/1.0","1990 / 2026","Scholarly text-encoding standard","R8","EXTEND"
"Library, Metadata & Cultural Heritage","ONIX for Books","ONIX","https://www.editeur.org/8/ONIX/","Exchange Format","—","ONIX-PL, ONIX Serials, MARC 21","EDItEUR","XML + code lists","Published v3.0/3.1","http://ns.editeur.org/onix/3.0/reference","2000 / 2023","Book-trade product metadata","R6","COMPOSE"
"Library, Metadata & Cultural Heritage","Darwin Core","DwC","https://dwc.tdwg.org/","Controlled Vocabulary","DC Terms","Audubon Core, ABCD, DC","TDWG","RDF terms + XML schema","Ratified standard","http://rs.tdwg.org/dwc/terms/","2009 / 2021","Biodiversity-occurrence vocabulary","R2","REFERENCE"
"Library, Metadata & Cultural Heritage","Schema.org CreativeWork","CreativeWork","https://schema.org/CreativeWork","Controlled Vocabulary","schema.org","DC Terms, BIBFRAME","Schema.org / W3C CG","RDF vocabulary (JSON-LD)","Living standard","https://schema.org/CreativeWork","2011 / 2025","Creative-work subtree of schema.org","R4","REFERENCE"
"Library, Metadata & Cultural Heritage","Art & Architecture Thesaurus","AAT","https://www.getty.edu/research/tools/vocabularies/aat/","Controlled Vocabulary","—","ULAN, TGN, LCSH","Getty Research Institute","SKOS/RDF LOD","Published (ODC-BY)","http://vocab.getty.edu/aat/","1990 / —","Art/architecture thesaurus; strong import candidate","R2","REFERENCE"
"Library, Metadata & Cultural Heritage","Union List of Artist Names","ULAN","https://www.getty.edu/research/tools/vocabularies/ulan/","Controlled Vocabulary","—","AAT, TGN, ISNI, VIAF","Getty Research Institute","SKOS/RDF LOD","Published (ODC-BY)","http://vocab.getty.edu/ulan/","1990 / —","Artist name authority","R2","REFERENCE"
"Library, Metadata & Cultural Heritage","Thesaurus of Geographic Names","TGN","https://www.getty.edu/research/tools/vocabularies/tgn/","Controlled Vocabulary","—","AAT, ULAN, GeoNames","Getty Research Institute","SKOS/RDF LOD","Published (ODC-BY)","http://vocab.getty.edu/tgn/","1990 / —","Geographic name authority","R2","REFERENCE"
"Library, Metadata & Cultural Heritage","Library of Congress Subject Headings","LCSH","https://id.loc.gov/authorities/subjects.html","Controlled Vocabulary","—","LCNAF, FAST, MeSH","Library of Congress","SKOS/RDF + MADS/RDF","Published (LOD since 2009)","http://id.loc.gov/authorities/subjects/","1898 / —","Pre-eminent subject authority","R2","REFERENCE"
"Library, Metadata & Cultural Heritage","International Standard Name Identifier","ISNI","https://isni.org/","Code List","—","ORCID, VIAF, DOI","ISNI-IA","16-digit identifier registry","Published (ISO 27729)","https://isni.org/isni/","2012 / 2024","ISO 27729:2024; party identifier","R3","REFERENCE"
"Library, Metadata & Cultural Heritage","Open Researcher and Contributor ID","ORCID","https://orcid.org/","Code List","ISNI","ISNI, ResearcherID, VIAF","ORCID, Inc.","Identifier registry + REST API","Live registry","https://orcid.org/","2012 / —","Researcher identifier (ISNI-compatible block)","R3","REFERENCE"
"Healthcare & Life Sciences","HL7 Version 2.x Messaging","HL7 v2","https://www.hl7.org/implement/standards/product_brief.cfm?product_id=185","Exchange Format","—","HL7 v3, FHIR","HL7 International","Pipe-delimited (ER7), XML","Active","—","1989/2.9","Dominant legacy clinical messaging; pervasive in hospitals","R6","COMPOSE"
"Healthcare & Life Sciences","HL7 Version 3","HL7 v3","https://www.hl7.org/implement/standards/product_brief.cfm?product_id=186","Exchange Format","RIM","HL7 v2, CDA","HL7 International","XML","Active (largely superseded)","urn:hl7-org:v3","2005","RIM-based; complex, mostly superseded by FHIR","R6","COMPOSE"
"Healthcare & Life Sciences","HL7 Reference Information Model","RIM","https://www.hl7.org/implement/standards/product_brief.cfm?product_id=77","Metamodel","—","FHIR, openEHR RM","HL7 International","UML/XML","Active","—","2003","Foundational metamodel for v3/CDA","R4","REFERENCE"
"Healthcare & Life Sciences","HL7 Clinical Document Architecture","CDA","https://www.hl7.org/implement/standards/product_brief.cfm?product_id=7","Exchange Format","RIM","C-CDA, FHIR Documents","HL7 International","XML","Active","urn:hl7-org:v3","2005/R2","Document standard; C-CDA widely used in US","R6","COMPOSE"
"Healthcare & Life Sciences","HL7 FHIR","FHIR","https://hl7.org/fhir/","Exchange Format","—","openEHR, CDA, OMOP","HL7 International","JSON, XML, RDF/Turtle","Active (R5)","http://hl7.org/fhir","2014/R5 2023","Modern resource+REST API standard; strong import candidate","R4","REFERENCE"
"Healthcare & Life Sciences","US Core","US Core","https://hl7.org/fhir/us/core/","Application Profile","FHIR","IPS, AU Core","HL7 International","FHIR IG","Active","http://hl7.org/fhir/us/core","2019/v6+","US realm constraints (USCDI); IG profile","R2","REFERENCE"
"Healthcare & Life Sciences","International Patient Summary","IPS","https://hl7.org/fhir/uv/ips/","Application Profile","FHIR","US Core, openEHR","HL7 International / CEN","FHIR IG","Active","http://hl7.org/fhir/uv/ips","2020","Cross-border patient summary IG","R6","COMPOSE"
"Healthcare & Life Sciences","openEHR Reference Model","openEHR","https://specifications.openehr.org/","Metamodel","—","ISO 13606, FHIR","openEHR International","UML/ADL/AOM","Active","—","2005","Two-level modeling, archetypes; EHR persistence","R4","REFERENCE"
"Healthcare & Life Sciences","ISO 13606 EHR Communication","ISO 13606","https://www.iso.org/standard/67868.html","Exchange Format","—","openEHR, FHIR","ISO TC215 / CEN","UML/XML","Active","—","2008/2019","Archetype-based EHR extract; aligned with openEHR","R6","COMPOSE"
"Healthcare & Life Sciences","DICOM","DICOM","https://www.dicomstandard.org/current","Exchange Format","—","FHIR ImagingStudy","NEMA / MITA","DICOM binary, XML, JSON","Active","1.2.840.10008","1993","Medical imaging storage/transfer standard","R6","COMPOSE"
"Healthcare & Life Sciences","IHE XDS / Cross-Enterprise Doc Sharing","XDS","https://profiles.ihe.net/ITI/TF/Volume1/ch-10.html","Framework","HL7/DICOM","XCA, MHD (FHIR)","IHE International","Profiles","Active","—","2004","Document sharing profile; MHD is FHIR successor","R6","COMPOSE"
"Healthcare & Life Sciences","SNOMED CT","SNOMED CT","https://www.snomed.org/","Ontology","—","ICD-11, LOINC","SNOMED International","RF2, OWL","Active","http://snomed.info/sct","2002","Comprehensive clinical terminology; strong import candidate","R2","REFERENCE"
"Healthcare & Life Sciences","LOINC","LOINC","https://loinc.org/","Controlled Vocabulary","—","SNOMED CT, CPT","Regenstrief Institute","CSV, FHIR","Active","http://loinc.org","1994","Lab/observation codes; widely used in FHIR","R2","REFERENCE"
"Healthcare & Life Sciences","ICD-10","ICD-10","https://icd.who.int/browse10/","Code List","—","ICD-11, SNOMED CT","WHO","Tabular/XML","Active (frozen)","—","1990","Mortality/morbidity classification; ICD-10-CM in US","R2","REFERENCE"
"Healthcare & Life Sciences","ICD-11","ICD-11","https://icd.who.int/","Code List","—","ICD-10, SNOMED CT","WHO","API/Linearization","Active","http://id.who.int/icd/release/11/mms","2019/2024","Ontology-backed Foundation; MMS linearization","R2","REFERENCE"
"Healthcare & Life Sciences","ICF (Functioning/Disability)","ICF","https://www.who.int/standards/classifications/international-classification-of-functioning-disability-and-health","Code List","—","ICD-11, SNOMED CT","WHO","Tabular","Active","—","2001","Functioning & disability classification","R2","REFERENCE"
"Healthcare & Life Sciences","RxNorm","RxNorm","https://www.nlm.nih.gov/research/umls/rxnorm/","Terminology","—","ATC, NDC, SNOMED","NLM","RRF, RxNav API","Active","http://www.nlm.nih.gov/research/umls/rxnorm","2004","Normalized drug nomenclature","R2","REFERENCE"
